EXP HEAD,DEPT,SCHOOL,SCHOOL CODE,DESCRIPTION,YEAR,VALUE
BD1000,A10,CHARLESTON ACADEMY,EM,RATES,1718,186960.0
BE1000,A10,CHARLESTON ACADEMY,EM,WATER CHARGES,1718,22503.84
BH2000,A10,CHARLESTON ACADEMY,EM,CLEANING MATERIALS/EQUIPMENT,1718,2959.53
BJ1000,A10,CHARLESTON ACADEMY,EM,GROUNDS MAINTENANCE CONTRACT,1718,2682.42
CA1000,A10,CHARLESTON ACADEMY,EM,DERV,1718,1385.32
CA1001,A10,CHARLESTON ACADEMY,EM,PETROL,1718,92.34
CA1003,A10,CHARLESTON ACADEMY,EM,GAS OIL,1718,198.71
CB1006,A10,CHARLESTON ACADEMY,EM,INT HIRE CONT CHG FROM FLEET,1718,9193.82
CB1007,A10,CHARLESTON ACADEMY,EM,VEHICLE MAINT O/CHG FROM FLEET,1718,3130.15
CC1000,A10,CHARLESTON ACADEMY,EM,EDUCATIONAL TRAVEL,1718,275.57
CC2000,A10,CHARLESTON ACADEMY,EM,CAR HIRE,1718,394.22
CD1000,A10,CHARLESTON ACADEMY,EM,FARES,1718,132.6
CF1000,A10,CHARLESTON ACADEMY,EM,COURSES TRAVEL,1718,138.63
CF1001,A10,CHARLESTON ACADEMY,EM,CONFERENCE TRAVEL,1718,56.2
CF1002,A10,CHARLESTON ACADEMY,EM,TRAINEE TRAVEL,1718,73.97
CF1004,A10,CHARLESTON ACADEMY,EM,TRAVEL MILEAGE NON TAXABLE,1718,728.14
DA1000,A10,CHARLESTON ACADEMY,EM,EQUIPMENT PURCHASE,1718,27506.07
DA2040,A10,CHARLESTON ACADEMY,EM,EQUIPMENT REPAIRS,1718,890.46
DA4028,A10,CHARLESTON ACADEMY,EM,VENDING MACHINE SUPPLIES/RENT,1718,566.6
DA4550,A10,CHARLESTON ACADEMY,EM,CLASSROOM SUPPLIES,1718,109.35
DB2010,A10,CHARLESTON ACADEMY,EM,FOOD,1718,505.59
DB3000,A10,CHARLESTON ACADEMY,EM,CATERING MEETINGS/TRAINING,1718,321.15
DB3010,A10,CHARLESTON ACADEMY,EM,MEALS&HOSPITALITY,1718,82.79
DB3030,A10,CHARLESTON ACADEMY,EM,HOSPITALITY,1718,563.73
DC1000,A10,CHARLESTON ACADEMY,EM,PROTECTIVE CLOTHING,1718,254.0
DC3000,A10,CHARLESTON ACADEMY,EM,CLOTHING NON STAFF,1718,72.0
DD1000,A10,CHARLESTON ACADEMY,EM,PRINTING,1718,136.53
DD3003,A10,CHARLESTON ACADEMY,EM,MPS COSTS MONO,1718,11867.98
DD3004,A10,CHARLESTON ACADEMY,EM,MPS COSTS COLOUR,1718,2855.52
DD4001,A10,CHARLESTON ACADEMY,EM,BOOKS TEXT BOOKS/STATIONERY,1718,-250.0
DF4001,A10,CHARLESTON ACADEMY,EM,ICT CHARGES CORE SUPPLIER,1718,283.61
DF7000,A10,CHARLESTON ACADEMY,EM,POSTAGES,1718,1235.79
DF9000,A10,CHARLESTON ACADEMY,EM,LANDLINE TELEPHONES RENTAL,1718,3407.7
DF9010,A10,CHARLESTON ACADEMY,EM,MOBILE PHONE LINE RENTAL,1718,261.71
DF9015,A10,CHARLESTON ACADEMY,EM,MOBILE PHONE USAGE COSTS,1718,3.39
DG1000,A10,CHARLESTON ACADEMY,EM,ACCOMMODATION,1718,379.13
DK9500,A10,CHARLESTON ACADEMY,EM,MISCELLANEOUS SUPPLIES,1718,17.9
EE1200,A10,CHARLESTON ACADEMY,EM,SCOTT QUALIFICATIONS AUTHORITY,1718,60348.45
FA3000,A10,CHARLESTON ACADEMY,EM,PROJECT FUNDS FOR SCHOOLS,1718,33.42
KC1936,A10,CHARLESTON ACADEMY,EM,OTHER FEES/CHARGES,1718,-686.0
XH1050,A10,CHARLESTON ACADEMY,EM,REVENUE ACCOUNT BALANCE,1718,-42394.43
DD4001,A11,CHARLESTON ACADEMY,ADMIN,BOOKS TEXT BOOKS/STATIONERY,1718,9536.88
AH1010,A21,CHARLESTON ACADEMY,ADD FUNDS,STAFF DEVELOPMENT,1718,7411.86
DA4550,A21,CHARLESTON ACADEMY,ADD FUNDS,CLASSROOM SUPPLIES,1718,639.19
KE3000,A21,CHARLESTON ACADEMY,ADD FUNDS,INCOME FROM WITHIN HLAND CNCL,1718,-5386.0
AH1010,A28,CHARLESTON ACADEMY,CPD,STAFF DEVELOPMENT,1718,125.0
CD1000,A28,CHARLESTON ACADEMY,CPD,FARES,1718,52.7
KB3001,A32,CHARLESTON ACADEMY,FIT FOR GIRLS,GRANTS OTHER PUBLIC BODIES,1718,-1000.0
DA1000,A50,CHARLESTON ACADEMY,ART,EQUIPMENT PURCHASE,1718,-33.99
DA4551,A50,CHARLESTON ACADEMY,ART,ART&CRAFT SUPPLIES,1718,1923.73
DD4001,A50,CHARLESTON ACADEMY,ART,BOOKS TEXT BOOKS/STATIONERY,1718,93.54
DA4555,A51,CHARLESTON ACADEMY,BIOLOGY,SCIENTIFIC SUPPLIES,1718,338.76
DD4001,A51,CHARLESTON ACADEMY,BIOLOGY,BOOKS TEXT BOOKS/STATIONERY,1718,656.45
DD4001,A52,CHARLESTON ACADEMY,BUSINESS,BOOKS TEXT BOOKS/STATIONERY,1718,171.42
DA4555,A54,CHARLESTON ACADEMY,CHEMISTRY,SCIENTIFIC SUPPLIES,1718,136.5
DD4001,A54,CHARLESTON ACADEMY,CHEMISTRY,BOOKS TEXT BOOKS/STATIONERY,1718,306.21
DD4001,A58,CHARLESTON ACADEMY,ENGLISH,BOOKS TEXT BOOKS/STATIONERY,1718,3113.82
DA1000,A60,CHARLESTON ACADEMY,GEOGRAPHY,EQUIPMENT PURCHASE,1718,65.45
DD4001,A60,CHARLESTON ACADEMY,GEOGRAPHY,BOOKS TEXT BOOKS/STATIONERY,1718,946.2
DD4001,A61,CHARLESTON ACADEMY,HISTORY,BOOKS TEXT BOOKS/STATIONERY,1718,1112.63
DA1000,A62,CHARLESTON ACADEMY,HOME EC,EQUIPMENT PURCHASE,1718,564.47
DA4001,A62,CHARLESTON ACADEMY,HOME EC,SMART CARDS COST OF,1718,-100.0
DA4556,A62,CHARLESTON ACADEMY,HOME EC,HOME ECONOMICS SUPPLIES,1718,1168.47
DD4001,A62,CHARLESTON ACADEMY,HOME EC,BOOKS TEXT BOOKS/STATIONERY,1718,145.35
AH1000,A64,CHARLESTON ACADEMY,LRN SUP,TRAINING COURSES,1718,11.51
DD4001,A64,CHARLESTON ACADEMY,LRN SUP,BOOKS TEXT BOOKS/STATIONERY,1718,1492.91
DD4001,A65,CHARLESTON ACADEMY,LIBRARY,BOOKS TEXT BOOKS/STATIONERY,1718,1321.27
DD4001,A66,CHARLESTON ACADEMY,MATHS,BOOKS TEXT BOOKS/STATIONERY,1718,2572.95
DD4001,A67,CHARLESTON ACADEMY,MOD LANG,BOOKS TEXT BOOKS/STATIONERY,1718,1641.77
DA4554,A69,CHARLESTON ACADEMY,MUSIC & DRAMA,MUSICAL SUPPLIES,1718,1719.58
DD4001,A69,CHARLESTON ACADEMY,MUSIC & DRAMA,BOOKS TEXT BOOKS/STATIONERY,1718,384.95
DA1000,A70,CHARLESTON ACADEMY,PE,EQUIPMENT PURCHASE,1718,1488.78
DA4001,A70,CHARLESTON ACADEMY,PE,SMART CARDS COST OF,1718,-90.0
DA4553,A70,CHARLESTON ACADEMY,PE,PE SUPPLIES,1718,-5.41
DD4001,A70,CHARLESTON ACADEMY,PE,BOOKS TEXT BOOKS/STATIONERY,1718,266.19
DD4001,A71,CHARLESTON ACADEMY,PHYSICS,BOOKS TEXT BOOKS/STATIONERY,1718,243.11
DD4001,A73,CHARLESTON ACADEMY,RELIGIOUS,BOOKS TEXT BOOKS/STATIONERY,1718,208.49
DA4555,A74,CHARLESTON ACADEMY,SCIENCE S1,SCIENTIFIC SUPPLIES,1718,923.92
DD4001,A74,CHARLESTON ACADEMY,SCIENCE S1,BOOKS TEXT BOOKS/STATIONERY,1718,303.19
DA1000,A79,CHARLESTON ACADEMY,TECHNICAL,EQUIPMENT PURCHASE,1718,1857.51
DA4552,A79,CHARLESTON ACADEMY,TECHNICAL,WOOD/METALWORK SUPPLIES,1718,811.75
DD4001,A79,CHARLESTON ACADEMY,TECHNICAL,BOOKS TEXT BOOKS/STATIONERY,1718,867.2
DD3001,A81,CHARLESTON ACADEMY,REPROGRAPHICS,PHOTOCOPY NO OF COPIES CHG,1718,-222.34
DD4001,A83,CHARLESTON ACADEMY,GUIDANCE,BOOKS TEXT BOOKS/STATIONERY,1718,348.05
DA1000,A88,CHARLESTON ACADEMY,CONTINGENCY,EQUIPMENT PURCHASE,1718,19374.05
DA4550,A88,CHARLESTON ACADEMY,CONTINGENCY,CLASSROOM SUPPLIES,1718,3193.51
DA4554,A88,CHARLESTON ACADEMY,CONTINGENCY,MUSICAL SUPPLIES,1718,5385.17
DD4001,A88,CHARLESTON ACADEMY,CONTINGENCY,BOOKS TEXT BOOKS/STATIONERY,1718,11088.44
AA1103,PEF,CHARLESTON ACADEMY,PEF,AUX STAFF EDUCATION BASIC PAY,1718,3770.68
AA1512,PEF,CHARLESTON ACADEMY,PEF,CONTRACT PAYMENTS,1718,1300.0
AB1000,PEF,CHARLESTON ACADEMY,PEF,NI NONTEACHERS,1718,315.75
AB1101,PEF,CHARLESTON ACADEMY,PEF,NI SUPPLY COVER,1718,880.0
AC1000,PEF,CHARLESTON ACADEMY,PEF,SUPERANN NON TEACHERS,1718,735.29
AS1000,PEF,CHARLESTON ACADEMY,PEF,APPRENTICESHIP LEVY COST,1718,18.84
DA4550,PEF,CHARLESTON ACADEMY,PEF,CLASSROOM SUPPLIES,1718,600.0
EF1003,PEF,CHARLESTON ACADEMY,PEF,VOLUNTARY ASSOCS/OTHER BODIES,1718,4800.0
KA3000,PEF,CHARLESTON ACADEMY,PEF,GOVT GRANTS SPECIFIC GRANTS,1718,-12420.56
AA1001,A10,CHARLESTON ACADEMY,EM,APT&C BASIC PAY,1617,71316.0
AA1100,A10,CHARLESTON ACADEMY,EM,TEACHERS PERMANENT BASIC PAY,1617,2056240.71
AA1101,A10,CHARLESTON ACADEMY,EM,SUPPLY COVER BASIC PAY,1617,50345.64
AA1103,A10,CHARLESTON ACADEMY,EM,AUX STAFF EDUCATION BASIC PAY,1617,15068.3
AA1107,A10,CHARLESTON ACADEMY,EM,JANITORS BASIC PAY,1617,71969.93
AA1110,A10,CHARLESTON ACADEMY,EM,LABORATORY TECH'N BASIC PAY,1617,53952.57
AA1500,A10,CHARLESTON ACADEMY,EM,OVERTIME GENERAL,1617,1802.9
AA1503,A10,CHARLESTON ACADEMY,EM,RESPONSIBILITY PAY,1617,4.34
AB1000,A10,CHARLESTON ACADEMY,EM,NI NONTEACHERS,1617,15855.79
AB1100,A10,CHARLESTON ACADEMY,EM,NI PERMANENT TEACHERS,1617,222923.5
AB1101,A10,CHARLESTON ACADEMY,EM,NI SUPPLY COVER,1617,4101.64
AC1000,A10,CHARLESTON ACADEMY,EM,SUPERANN NON TEACHERS,1617,32542.86
AC1100,A10,CHARLESTON ACADEMY,EM,SUPERANN PERMANENT TEACHERS,1617,319890.39
AC1101,A10,CHARLESTON ACADEMY,EM,SUPERANN SUPPLY COVER,1617,2034.69
AH1000,A10,CHARLESTON ACADEMY,EM,TRAINING COURSES,1617,725.0
AH1010,A10,CHARLESTON ACADEMY,EM,STAFF DEVELOPMENT,1617,2631.0
AK1503,A10,CHARLESTON ACADEMY,EM,COMPENSATION LOSS OF OFFICE,1617,7575.82
AK1504,A10,CHARLESTON ACADEMY,EM,LUMP SUM COMPENSATION,1617,11519.81
AK1505,A10,CHARLESTON ACADEMY,EM,REDUNDANCY PAYMENTS,1617,49120.69
BA3000,A10,CHARLESTON ACADEMY,EM,MAINT CLIENT EXTERNAL PARTIES,1617,2673.0
BA4000,A10,CHARLESTON ACADEMY,EM,RPRS&MAINT PROP EXT PARTIES,1617,282.69
BB2000,A10,CHARLESTON ACADEMY,EM,ELECTRICITY CHARGES,1617,59438.9
BB3000,A10,CHARLESTON ACADEMY,EM,GAS CHARGES,1617,38780.38
BD1000,A10,CHARLESTON ACADEMY,EM,RATES,1617,205530.0
BE1000,A10,CHARLESTON ACADEMY,EM,WATER CHARGES,1617,21987.51
BH2000,A10,CHARLESTON ACADEMY,EM,CLEANING MATERIALS/EQUIPMENT,1617,4764.57
BJ1000,A10,CHARLESTON ACADEMY,EM,GROUNDS MAINTENANCE CONTRACT,1617,3597.64
CA1000,A10,CHARLESTON ACADEMY,EM,DERV,1617,966.65
CA1001,A10,CHARLESTON ACADEMY,EM,PETROL,1617,53.72
CA1003,A10,CHARLESTON ACADEMY,EM,GAS OIL,1617,292.88
CA9000,A10,CHARLESTON ACADEMY,EM,MISCELLANEOUS TRANSPORT COSTS,1617,66.83
CB1006,A10,CHARLESTON ACADEMY,EM,INT HIRE CONT CHG FROM FLEET,1617,9193.84
CB1007,A10,CHARLESTON ACADEMY,EM,VEHICLE MAINT O/CHG FROM FLEET,1617,1130.62
CC1000,A10,CHARLESTON ACADEMY,EM,EDUCATIONAL TRAVEL,1617,125.76
CC2000,A10,CHARLESTON ACADEMY,EM,CAR HIRE,1617,38.4
CD1000,A10,CHARLESTON ACADEMY,EM,FARES,1617,472.0
CF1000,A10,CHARLESTON ACADEMY,EM,COURSES TRAVEL,1617,208.22
CF1001,A10,CHARLESTON ACADEMY,EM,CONFERENCE TRAVEL,1617,139.19
CF1004,A10,CHARLESTON ACADEMY,EM,TRAVEL MILEAGE NON TAXABLE,1617,32.11
DA1000,A10,CHARLESTON ACADEMY,EM,EQUIPMENT PURCHASE,1617,27232.12
DA2040,A10,CHARLESTON ACADEMY,EM,EQUIPMENT REPAIRS,1617,879.41
DA4000,A10,CHARLESTON ACADEMY,EM,MATERIALS,1617,-62.93
DA4014,A10,CHARLESTON ACADEMY,EM,MEDICAL SUPPLIES,1617,303.63
DA4028,A10,CHARLESTON ACADEMY,EM,VENDING MACHINE SUPPLIES/RENT,1617,561.6
DA4550,A10,CHARLESTON ACADEMY,EM,CLASSROOM SUPPLIES,1617,16.8
DB2010,A10,CHARLESTON ACADEMY,EM,FOOD,1617,728.14
DB3000,A10,CHARLESTON ACADEMY,EM,CATERING MEETINGS/TRAINING,1617,425.67
DB3010,A10,CHARLESTON ACADEMY,EM,MEALS&HOSPITALITY,1617,509.12
DB3030,A10,CHARLESTON ACADEMY,EM,HOSPITALITY,1617,227.87
DC1000,A10,CHARLESTON ACADEMY,EM,PROTECTIVE CLOTHING,1617,342.28
DC3000,A10,CHARLESTON ACADEMY,EM,CLOTHING NON STAFF,1617,956.5
DD3001,A10,CHARLESTON ACADEMY,EM,PHOTOCOPY NO OF COPIES CHG,1617,553.73
DD3003,A10,CHARLESTON ACADEMY,EM,MPS COSTS MONO,1617,17188.74
DD3004,A10,CHARLESTON ACADEMY,EM,MPS COSTS COLOUR,1617,5268.03
DD4001,A10,CHARLESTON ACADEMY,EM,BOOKS TEXT BOOKS/STATIONERY,1617,-274.97
DE3010,A10,CHARLESTON ACADEMY,EM,DEBT COLLECTION/SHERIFF OFFICE,1617,-57.02
DF4001,A10,CHARLESTON ACADEMY,EM,ICT CHARGES CORE SUPPLIER,1617,4794.35
DF7000,A10,CHARLESTON ACADEMY,EM,POSTAGES,1617,1232.37
DF9000,A10,CHARLESTON ACADEMY,EM,LANDLINE TELEPHONES RENTAL,1617,2512.64
DF9010,A10,CHARLESTON ACADEMY,EM,MOBILE PHONE LINE RENTAL,1617,240.0
DF9015,A10,CHARLESTON ACADEMY,EM,MOBILE PHONE USAGE COSTS,1617,5.08
DG1000,A10,CHARLESTON ACADEMY,EM,ACCOMMODATION,1617,761.37
DG4000,A10,CHARLESTON ACADEMY,EM,SUBSISTENCE,1617,89.0
DK9500,A10,CHARLESTON ACADEMY,EM,MISCELLANEOUS SUPPLIES,1617,121.0
EE1200,A10,CHARLESTON ACADEMY,EM,SCOTT QUALIFICATIONS AUTHORITY,1617,60239.65
KC1936,A10,CHARLESTON ACADEMY,EM,OTHER FEES/CHARGES,1617,-1372.0
XH1050,A10,CHARLESTON ACADEMY,EM,REVENUE ACCOUNT BALANCE,1617,-104603.93
DD3001,A11,CHARLESTON ACADEMY,ADMIN,PHOTOCOPY NO OF COPIES CHG,1617,5489.72
DD4001,A11,CHARLESTON ACADEMY,ADMIN,BOOKS TEXT BOOKS/STATIONERY,1617,5731.53
AH1010,A21,CHARLESTON ACADEMY,ADD FUNDS,STAFF DEVELOPMENT,1617,18040.47
DA4550,A21,CHARLESTON ACADEMY,ADD FUNDS,CLASSROOM SUPPLIES,1617,-1428.65
FA3000,A21,CHARLESTON ACADEMY,ADD FUNDS,PROJECT FUNDS FOR SCHOOLS,1617,-9287.0
AH1010,A28,CHARLESTON ACADEMY,CPD,STAFF DEVELOPMENT,1617,758.17
DA1000,A50,CHARLESTON ACADEMY,ART,EQUIPMENT PURCHASE,1617,1224.15
DA4551,A50,CHARLESTON ACADEMY,ART,ART&CRAFT SUPPLIES,1617,1343.24
DD3001,A50,CHARLESTON ACADEMY,ART,PHOTOCOPY NO OF COPIES CHG,1617,909.42
DD4001,A50,CHARLESTON ACADEMY,ART,BOOKS TEXT BOOKS/STATIONERY,1617,242.72
DA4555,A51,CHARLESTON ACADEMY,BIOLOGY,SCIENTIFIC SUPPLIES,1617,129.94
DD3001,A51,CHARLESTON ACADEMY,BIOLOGY,PHOTOCOPY NO OF COPIES CHG,1617,221.17
DD4001,A51,CHARLESTON ACADEMY,BIOLOGY,BOOKS TEXT BOOKS/STATIONERY,1617,915.1
DD3001,A52,CHARLESTON ACADEMY,BUSINESS,PHOTOCOPY NO OF COPIES CHG,1617,1132.24
DD4001,A52,CHARLESTON ACADEMY,BUSINESS,BOOKS TEXT BOOKS/STATIONERY,1617,99.35
DA4555,A54,CHARLESTON ACADEMY,CHEMISTRY,SCIENTIFIC SUPPLIES,1617,272.66
DD3001,A54,CHARLESTON ACADEMY,CHEMISTRY,PHOTOCOPY NO OF COPIES CHG,1617,284.33
DD4001,A54,CHARLESTON ACADEMY,CHEMISTRY,BOOKS TEXT BOOKS/STATIONERY,1617,854.43
DD3001,A57,CHARLESTON ACADEMY,COMPUTING,PHOTOCOPY NO OF COPIES CHG,1617,11.7
DD4001,A57,CHARLESTON ACADEMY,COMPUTING,BOOKS TEXT BOOKS/STATIONERY,1617,25.98
DD3001,A58,CHARLESTON ACADEMY,ENGLISH,PHOTOCOPY NO OF COPIES CHG,1617,1402.95
DD4001,A58,CHARLESTON ACADEMY,ENGLISH,BOOKS TEXT BOOKS/STATIONERY,1617,3250.95
DA1000,A60,CHARLESTON ACADEMY,GEOGRAPHY,EQUIPMENT PURCHASE,1617,25.16
DD3001,A60,CHARLESTON ACADEMY,GEOGRAPHY,PHOTOCOPY NO OF COPIES CHG,1617,1809.73
DD4001,A60,CHARLESTON ACADEMY,GEOGRAPHY,BOOKS TEXT BOOKS/STATIONERY,1617,1155.42
DD3001,A61,CHARLESTON ACADEMY,HISTORY,PHOTOCOPY NO OF COPIES CHG,1617,1189.18
DD4001,A61,CHARLESTON ACADEMY,HISTORY,BOOKS TEXT BOOKS/STATIONERY,1617,411.45
DA4556,A62,CHARLESTON ACADEMY,HOME EC,HOME ECONOMICS SUPPLIES,1617,11.84
DD3001,A62,CHARLESTON ACADEMY,HOME EC,PHOTOCOPY NO OF COPIES CHG,1617,357.75
DD4001,A62,CHARLESTON ACADEMY,HOME EC,BOOKS TEXT BOOKS/STATIONERY,1617,244.7
AH1000,A64,CHARLESTON ACADEMY,LRN SUP,TRAINING COURSES,1617,75.0
DD3001,A64,CHARLESTON ACADEMY,LRN SUP,PHOTOCOPY NO OF COPIES CHG,1617,608.2
DD4001,A64,CHARLESTON ACADEMY,LRN SUP,BOOKS TEXT BOOKS/STATIONERY,1617,1969.82
DD3001,A65,CHARLESTON ACADEMY,LIBRARY,PHOTOCOPY NO OF COPIES CHG,1617,47.93
DD4001,A65,CHARLESTON ACADEMY,LIBRARY,BOOKS TEXT BOOKS/STATIONERY,1617,1372.88
DD3001,A66,CHARLESTON ACADEMY,MATHS,PHOTOCOPY NO OF COPIES CHG,1617,2680.86
DD4001,A66,CHARLESTON ACADEMY,MATHS,BOOKS TEXT BOOKS/STATIONERY,1617,1168.48
DD3001,A67,CHARLESTON ACADEMY,MOD LANG,PHOTOCOPY NO OF COPIES CHG,1617,749.38
DD4001,A67,CHARLESTON ACADEMY,MOD LANG,BOOKS TEXT BOOKS/STATIONERY,1617,993.48
DA4554,A69,CHARLESTON ACADEMY,MUSIC & DRAMA,MUSICAL SUPPLIES,1617,835.89
DD3001,A69,CHARLESTON ACADEMY,MUSIC & DRAMA,PHOTOCOPY NO OF COPIES CHG,1617,593.8
DD4001,A69,CHARLESTON ACADEMY,MUSIC & DRAMA,BOOKS TEXT BOOKS/STATIONERY,1617,239.57
DA1000,A70,CHARLESTON ACADEMY,PE,EQUIPMENT PURCHASE,1617,1089.91
DA4553,A70,CHARLESTON ACADEMY,PE,PE SUPPLIES,1617,94.81
DD3001,A70,CHARLESTON ACADEMY,PE,PHOTOCOPY NO OF COPIES CHG,1617,718.51
DD4001,A70,CHARLESTON ACADEMY,PE,BOOKS TEXT BOOKS/STATIONERY,1617,136.98
DF4001,A70,CHARLESTON ACADEMY,PE,ICT CHARGES CORE SUPPLIER,1617,290.35
DA4555,A71,CHARLESTON ACADEMY,PHYSICS,SCIENTIFIC SUPPLIES,1617,315.1
DD3001,A71,CHARLESTON ACADEMY,PHYSICS,PHOTOCOPY NO OF COPIES CHG,1617,333.1
DD3001,A73,CHARLESTON ACADEMY,RELIGIOUS,PHOTOCOPY NO OF COPIES CHG,1617,348.8
DA4555,A74,CHARLESTON ACADEMY,SCIENCE S1,SCIENTIFIC SUPPLIES,1617,847.98
DA4556,A74,CHARLESTON ACADEMY,SCIENCE S1,HOME ECONOMICS SUPPLIES,1617,7.8
DD3001,A74,CHARLESTON ACADEMY,SCIENCE S1,PHOTOCOPY NO OF COPIES CHG,1617,1725.87
DA1000,A79,CHARLESTON ACADEMY,TECHNICAL,EQUIPMENT PURCHASE,1617,140.88
DA4552,A79,CHARLESTON ACADEMY,TECHNICAL,WOOD/METALWORK SUPPLIES,1617,2982.93
DD3001,A79,CHARLESTON ACADEMY,TECHNICAL,PHOTOCOPY NO OF COPIES CHG,1617,640.61
DD4001,A79,CHARLESTON ACADEMY,TECHNICAL,BOOKS TEXT BOOKS/STATIONERY,1617,180.55
DD3001,A81,CHARLESTON ACADEMY,REPROGRAPHICS,PHOTOCOPY NO OF COPIES CHG,1617,-21892.91
DD3001,A83,CHARLESTON ACADEMY,GUIDANCE,PHOTOCOPY NO OF COPIES CHG,1617,44.09
AA1001,A10,CHARLESTON ACADEMY,EM,APT&C BASIC PAY,1819,74330.3
AA1100,A10,CHARLESTON ACADEMY,EM,TEACHERS PERMANENT BASIC PAY,1819,2083399.34
AA1101,A10,CHARLESTON ACADEMY,EM,SUPPLY COVER BASIC PAY,1819,60941.6
AA1103,A10,CHARLESTON ACADEMY,EM,AUX STAFF EDUCATION BASIC PAY,1819,16233.84
AA1107,A10,CHARLESTON ACADEMY,EM,JANITORS BASIC PAY,1819,1269.76
AA1110,A10,CHARLESTON ACADEMY,EM,LABORATORY TECH'N BASIC PAY,1819,41419.52
AA1500,A10,CHARLESTON ACADEMY,EM,OVERTIME GENERAL,1819,108.75
AB1000,A10,CHARLESTON ACADEMY,EM,NI NONTEACHERS,1819,9357.15
AB1100,A10,CHARLESTON ACADEMY,EM,NI PERMANENT TEACHERS,1819,221986.93
AB1101,A10,CHARLESTON ACADEMY,EM,NI SUPPLY COVER,1819,3822.28
AC1000,A10,CHARLESTON ACADEMY,EM,SUPERANN NON TEACHERS,1819,18917.4
AC1100,A10,CHARLESTON ACADEMY,EM,SUPERANN PERMANENT TEACHERS,1819,328911.3
AC1101,A10,CHARLESTON ACADEMY,EM,SUPERANN SUPPLY COVER,1819,3252.93
AH1000,A10,CHARLESTON ACADEMY,EM,TRAINING COURSES,1819,975.0
AH1010,A10,CHARLESTON ACADEMY,EM,STAFF DEVELOPMENT,1819,3573.31
AS1000,A10,CHARLESTON ACADEMY,EM,APPRENTICESHIP LEVY COST,1819,11604.76
BA3000,A10,CHARLESTON ACADEMY,EM,MAINT CLIENT EXTERNAL PARTIES,1819,10579.07
BA4000,A10,CHARLESTON ACADEMY,EM,RPRS&MAINT PROP EXT PARTIES,1819,11051.96
BB2000,A10,CHARLESTON ACADEMY,EM,ELECTRICITY CHARGES,1819,59229.62
BB3000,A10,CHARLESTON ACADEMY,EM,GAS CHARGES,1819,43990.89
BD1000,A10,CHARLESTON ACADEMY,EM,RATES,1819,192280.0
BE1000,A10,CHARLESTON ACADEMY,EM,WATER CHARGES,1819,16669.03
BH2000,A10,CHARLESTON ACADEMY,EM,CLEANING MATERIALS/EQUIPMENT,1819,3184.65
BJ1000,A10,CHARLESTON ACADEMY,EM,GROUNDS MAINTENANCE CONTRACT,1819,3166.25
CA1000,A10,CHARLESTON ACADEMY,EM,DERV,1819,1266.01
CA1001,A10,CHARLESTON ACADEMY,EM,PETROL,1819,68.92
CA1003,A10,CHARLESTON ACADEMY,EM,GAS OIL,1819,250.37
CB1006,A10,CHARLESTON ACADEMY,EM,INT HIRE CONT CHG FROM FLEET,1819,8938.06
CB1007,A10,CHARLESTON ACADEMY,EM,VEHICLE MAINT O/CHG FROM FLEET,1819,1494.0
CC1000,A10,CHARLESTON ACADEMY,EM,EDUCATIONAL TRAVEL,1819,66.83
CC2000,A10,CHARLESTON ACADEMY,EM,CAR HIRE,1819,931.96
