SEEDCODE,LOCAL AUTHORITY,SCHOOL TYPE,SCHOOL,TEACHERS,PUPIL ROLL,ASN PUPILS,ATTENDANCE RATE,YEAR
5226627,ABERDEENSHIRE,PRIMARY,HATTON FINTRAY PRIMARY SCHOOL,3.2,36,18,96.74,2223
5250820,ABERDEENSHIRE,PRIMARY,HILL OF BANCHORY SCHOOL,19.5,363,129,94.79,2223
1003607,ABERDEENSHIRE,PRIMARY,HILLSIDE PRIMARY SCHOOL,26.0,503,237,95.23,2223
5231523,ABERDEENSHIRE,PRIMARY,INSCH PRIMARY SCHOOL,18.2,338,114,94.52,2223
5217326,ABERDEENSHIRE,PRIMARY,INVERALLOCHY SCHOOL,8.6,127,41,94.44,2223
5250129,ABERDEENSHIRE,PRIMARY,JOHNSHAVEN PRIMARY SCHOOL,3.2,40,22,92.5,2223
5226929,ABERDEENSHIRE,PRIMARY,KEIG SCHOOL,3.1,26,9,96.57,2223
5227127,ABERDEENSHIRE,PRIMARY,KEITHHALL PRIMARY SCHOOL,3.0,36,16,94.32,2223
5232228,ABERDEENSHIRE,PRIMARY,KELLANDS PRIMARY SCHOOL,23.5,396,227,93.79,2223
5230721,ABERDEENSHIRE,PRIMARY,KEMNAY PRIMARY SCHOOL,11.1,195,77,94.9,2223
5227224,ABERDEENSHIRE,PRIMARY,KENNETHMONT PRIMARY SCHOOL,3.9,65,24,94.91,2223
5256925,ABERDEENSHIRE,PRIMARY,KINCARDINE O'NEIL PRIMARY SCHOOL,3.1,35,11,92.69,2223
5232325,ABERDEENSHIRE,PRIMARY,KINELLAR PRIMARY SCHOOL,20.2,345,97,94.0,2223
5217423,ABERDEENSHIRE,PRIMARY,KING EDWARD PRIMARY SCHOOL,2.1,24,12,93.36,2223
5217520,ABERDEENSHIRE,PRIMARY,KININMONTH PRIMARY SCHOOL,2.9,34,15,93.27,2223
5250226,ABERDEENSHIRE,PRIMARY,KINNEFF PRIMARY SCHOOL,1.5,10,,93.98,2223
5231922,ABERDEENSHIRE,PRIMARY,KINTORE PRIMARY SCHOOL,22.3,383,131,94.99,2223
5210020,ABERDEENSHIRE,PRIMARY,LAIRHILLOCK PRIMARY SCHOOL,8.8,128,47,95.37,2223
5227526,ABERDEENSHIRE,PRIMARY,LARGUE PRIMARY SCHOOL,1.7,9,,95.92,2223
5258227,ABERDEENSHIRE,PRIMARY,LAURENCEKIRK PRIMARY SCHOOL,23.1,386,160,92.8,2223
5222020,ABERDEENSHIRE,PRIMARY,LOCHPOTS PRIMARY SCHOOL,9.9,175,142,91.13,2223
5257026,ABERDEENSHIRE,PRIMARY,LOGIE COLDSTONE PRIMARY SCHOOL,2.3,15,8,96.73,2223
5227623,ABERDEENSHIRE,PRIMARY,LOGIE DURNO PRIMARY SCHOOL,2.9,41,18,92.73,2223
5217725,ABERDEENSHIRE,PRIMARY,LONGSIDE PRIMARY SCHOOL,9.2,148,55,93.75,2223
5257123,ABERDEENSHIRE,PRIMARY,LUMPHANAN PRIMARY SCHOOL,3.7,48,17,95.58,2223
5227720,ABERDEENSHIRE,PRIMARY,LUMSDEN PRIMARY SCHOOL,1.9,16,9,95.39,2223
5250420,ABERDEENSHIRE,PRIMARY,LUTHERMUIR PRIMARY SCHOOL,3.2,28,7,92.4,2223
5212723,ABERDEENSHIRE,PRIMARY,MACDUFF PRIMARY SCHOOL,18.2,303,157,91.85,2223
5250722,ABERDEENSHIRE,PRIMARY,MARYKIRK PRIMARY SCHOOL,3.2,38,15,93.83,2223
5217822,ABERDEENSHIRE,PRIMARY,MAUD PRIMARY SCHOOL,5.4,89,49,95.01,2223
5218721,ABERDEENSHIRE,PRIMARY,MEETHILL PRIMARY SCHOOL,14.6,187,114,91.66,2223
5232724,ABERDEENSHIRE,PRIMARY,MEIKLEMILL PRIMARY SCHOOL,14.3,236,74,93.89,2223
5227828,ABERDEENSHIRE,PRIMARY,MELDRUM PRIMARY SCHOOL,23.0,406,139,94.18,2223
5227925,ABERDEENSHIRE,PRIMARY,METHLICK PRIMARY SCHOOL,8.2,123,42,94.45,2223
5228026,ABERDEENSHIRE,PRIMARY,MIDMAR SCHOOL,3.1,28,13,94.64,2223
1003615,ABERDEENSHIRE,PRIMARY,MIDMILL SCHOOL,9.6,150,61,95.57,2223
5257727,ABERDEENSHIRE,PRIMARY,MILL O'FOREST PRIMARY SCHOOL,22.7,283,96,93.28,2223
5220122,ABERDEENSHIRE,PRIMARY,MINTLAW PRIMARY SCHOOL,12.9,167,77,94.61,2223
5218020,ABERDEENSHIRE,PRIMARY,MONQUHITTER PRIMARY SCHOOL,8.7,122,61,93.12,2223
5228220,ABERDEENSHIRE,PRIMARY,MONYMUSK SCHOOL,4.4,64,46,94.61,2223
5220327,ABERDEENSHIRE,PRIMARY,NEW DEER PRIMARY SCHOOL,6.7,117,60,93.6,2223
5228425,ABERDEENSHIRE,PRIMARY,NEW MACHAR PRIMARY SCHOOL,20.4,373,132,94.31,2223
5220424,ABERDEENSHIRE,PRIMARY,NEW PITSLIGO & ST JOHN'S PRIMARY SCHOOL,9.5,123,76,93.06,2223
5228328,ABERDEENSHIRE,PRIMARY,NEWBURGH MATHERS PRIMARY SCHOOL,9.0,143,40,95.94,2223
5251028,ABERDEENSHIRE,PRIMARY,NEWTONHILL PRIMARY SCHOOL,16.8,311,115,94.95,2223
5228522,ABERDEENSHIRE,PRIMARY,OLD RAYNE SCHOOL,4.0,59,16,95.99,2223
5212928,ABERDEENSHIRE,PRIMARY,ORDIQUHILL PRIMARY SCHOOL,4.0,58,39,94.03,2223
5228727,ABERDEENSHIRE,PRIMARY,OYNE SCHOOL,3.9,44,22,94.54,2223
5218527,ABERDEENSHIRE,PRIMARY,PETERHEAD CENTRAL PRIMARY SCHOOL,11.8,133,90,85.59,2223
5221722,ABERDEENSHIRE,PRIMARY,PITFOUR PRIMARY SCHOOL,7.6,103,60,93.9,2223
5228824,ABERDEENSHIRE,PRIMARY,PITMEDDEN PRIMARY SCHOOL,9.2,160,66,95.34,2223
5228921,ABERDEENSHIRE,PRIMARY,PORT ELPHINSTONE PRIMARY SCHOOL,5.7,71,32,92.67,2223
5219027,ABERDEENSHIRE,PRIMARY,PORT ERROLL PRIMARY SCHOOL,9.6,126,61,93.57,2223
5251125,ABERDEENSHIRE,PRIMARY,PORTLETHEN PRIMARY SCHOOL,17.8,253,111,93.19,2223
5213029,ABERDEENSHIRE,PRIMARY,PORTSOY PRIMARY SCHOOL,8.8,112,68,91.65,2223
5229022,ABERDEENSHIRE,PRIMARY,PREMNAY SCHOOL,2.8,43,30,96.56,2223
5219124,ABERDEENSHIRE,PRIMARY,RATHEN PRIMARY SCHOOL,4.1,68,23,94.54,2223
5229227,ABERDEENSHIRE,PRIMARY,RAYNE NORTH PRIMARY SCHOOL,4.1,53,24,95.33,2223
5251222,ABERDEENSHIRE,PRIMARY,REDMYRE PRIMARY SCHOOL,4.5,53,13,94.73,2223
5229324,ABERDEENSHIRE,PRIMARY,RHYNIE PRIMARY SCHOOL,2.2,34,21,94.95,2223
5220823,ABERDEENSHIRE,PRIMARY,ROSEHEARTY SCHOOL,8.4,139,79,93.05,2223
5219221,ABERDEENSHIRE,PRIMARY,ROTHIENORMAN SCHOOL,9.6,129,78,95.85,2223
5219523,ABERDEENSHIRE,PRIMARY,SANDHAVEN SCHOOL,6.7,80,47,93.37,2223
5229529,ABERDEENSHIRE,PRIMARY,SKENE PRIMARY SCHOOL,4.4,47,25,93.99,2223
5229626,ABERDEENSHIRE,PRIMARY,SLAINS SCHOOL,3.8,24,7,95.75,2223
5216729,ABERDEENSHIRE,PRIMARY,ST ANDREWS PRIMARY SCHOOL,17.2,315,227,92.11,2223
5219329,ABERDEENSHIRE,PRIMARY,ST COMBS PRIMARY SCHOOL,5.6,73,42,92.78,2223
5251427,ABERDEENSHIRE,PRIMARY,ST CYRUS PRIMARY SCHOOL,9.9,122,33,93.04,2223
5219426,ABERDEENSHIRE,PRIMARY,ST FERGUS PRIMARY SCHOOL,7.0,99,31,94.86,2223
5231825,ABERDEENSHIRE,PRIMARY,STRATHBURN PRIMARY SCHOOL,23.6,442,178,93.77,2223
5229723,ABERDEENSHIRE,PRIMARY,STRATHDON SCHOOL,2.2,18,7,95.3,2223
5220920,ABERDEENSHIRE,PRIMARY,STRICHEN PRIMARY SCHOOL,8.1,118,49,94.35,2223
5219825,ABERDEENSHIRE,PRIMARY,STUARTFIELD PRIMARY SCHOOL,9.3,124,39,95.55,2223
5257328,ABERDEENSHIRE,PRIMARY,TARLAND PRIMARY SCHOOL,6.1,85,53,92.31,2223
5233127,ABERDEENSHIRE,PRIMARY,TARVES PRIMARY SCHOOL,9.2,153,67,95.26,2223
5229928,ABERDEENSHIRE,PRIMARY,TIPPERTY PRIMARY SCHOOL,2.2,15,,94.13,2223
5257425,ABERDEENSHIRE,PRIMARY,TORPHINS PRIMARY SCHOOL,10.0,166,55,94.75,2223
5230020,ABERDEENSHIRE,PRIMARY,TOUGH PRIMARY SCHOOL,3.5,29,12,94.91,2223
5230128,ABERDEENSHIRE,PRIMARY,TOWIE SCHOOL,3.2,38,17,96.18,2223
5230225,ABERDEENSHIRE,PRIMARY,TULLYNESSLE PRIMARY SCHOOL,1.9,14,6,94.64,2223
5222222,ABERDEENSHIRE,PRIMARY,TURRIFF PRIMARY SCHOOL,24.4,406,203,92.47,2223
5219620,ABERDEENSHIRE,PRIMARY,TYRIE PRIMARY SCHOOL,2.0,13,7,94.87,2223
5230322,ABERDEENSHIRE,PRIMARY,UDNY GREEN PRIMARY SCHOOL,4.0,47,34,92.82,2223
5226821,ABERDEENSHIRE,PRIMARY,URYSIDE SCHOOL,23.5,458,140,95.45,2223
5230527,ABERDEENSHIRE,PRIMARY,WESTHILL PRIMARY SCHOOL,17.3,320,142,94.72,2223
5213126,ABERDEENSHIRE,PRIMARY,WHITEHILLS PRIMARY SCHOOL,8.5,129,56,92.67,2223
5257530,ABERDEENSHIRE,SECONDARY,ABOYNE ACADEMY,60.6,669,359,92.26,2223
5230934,ABERDEENSHIRE,SECONDARY,ALFORD ACADEMY,59.0,733,307,89.59,2223
5251834,ABERDEENSHIRE,SECONDARY,BANCHORY ACADEMY,68.6,865,394,92.05,2223
5213231,ABERDEENSHIRE,SECONDARY,BANFF ACADEMY,78.6,970,618,88.17,2223
5231132,ABERDEENSHIRE,SECONDARY,ELLON ACADEMY,97.7,1154,545,88.82,2223
5219736,ABERDEENSHIRE,SECONDARY,FRASERBURGH ACADEMY,91.9,1127,730,86.99,2223
5231639,ABERDEENSHIRE,SECONDARY,INVERURIE ACADEMY,96.7,1292,629,91.43,2223
5233038,ABERDEENSHIRE,SECONDARY,KEMNAY ACADEMY,74.5,993,500,91.97,2223
5251931,ABERDEENSHIRE,SECONDARY,MACKIE ACADEMY,86.2,1118,494,92.1,2223
5252032,ABERDEENSHIRE,SECONDARY,MEARNS ACADEMY,58.6,687,357,91.19,2223
5232333,ABERDEENSHIRE,SECONDARY,MELDRUM ACADEMY,84.9,1004,489,91.57,2223
5222133,ABERDEENSHIRE,SECONDARY,MINTLAW ACADEMY,73.4,880,492,90.83,2223
5220734,ABERDEENSHIRE,SECONDARY,PETERHEAD ACADEMY,94.4,1281,748,89.2,2223
5258030,ABERDEENSHIRE,SECONDARY,PORTLETHEN ACADEMY,79.0,944,607,91.43,2223
5231434,ABERDEENSHIRE,SECONDARY,THE GORDON SCHOOLS,61.2,665,388,90.81,2223
5221234,ABERDEENSHIRE,SECONDARY,TURRIFF ACADEMY,60.7,623,354,88.81,2223
5232937,ABERDEENSHIRE,SECONDARY,WESTHILL ACADEMY,69.3,847,474,94.41,2223
5221447,ABERDEENSHIRE,SPECIAL,ANNA RITCHIE SCHOOL,14.9,80,80,90.98,2223
5252148,ABERDEENSHIRE,SPECIAL,CARRONHILL SCHOOL,8.7,42,42,90.14,2223
5232147,ABERDEENSHIRE,SPECIAL,ST ANDREW'S SCHOOL,15.9,61,61,91.38,2223
5221544,ABERDEENSHIRE,SPECIAL,WESTFIELD SCHOOL,6.5,43,43,86.34,2223
5300126,ANGUS,PRIMARY,ABERLEMNO PRIMARY SCHOOL,2.7,11,,88.53,2223
5300223,ANGUS,PRIMARY,AIRLIE PRIMARY SCHOOL,3.0,38,8,92.99,2223
5301424,ANGUS,PRIMARY,ANDOVER PRIMARY SCHOOL,18.4,241,157,88.62,2223
5300320,ANGUS,PRIMARY,ARBIRLOT PRIMARY SCHOOL,3.0,20,9,94.01,2223
5320127,ANGUS,PRIMARY,AUCHTERHOUSE PRIMARY SCHOOL,2.9,27,,92.65,2223
5320720,ANGUS,PRIMARY,BIRKHILL PRIMARY SCHOOL,13.7,257,19,95.05,2223
5308925,ANGUS,PRIMARY,BORROWFIELD PRIMARY SCHOOL,12.9,214,56,93.62,2223
5300720,ANGUS,PRIMARY,BURNSIDE PRIMARY SCHOOL,19.0,327,47,93.09,2223
5307821,ANGUS,PRIMARY,CARLOGIE PRIMARY SCHOOL,23.5,281,88,92.42,2223
5301726,ANGUS,PRIMARY,CARMYLLIE PRIMARY SCHOOL,3.8,19,8,93.78,2223
5302021,ANGUS,PRIMARY,COLLISTON PRIMARY SCHOOL,2.7,31,7,93.62,2223
5302129,ANGUS,PRIMARY,CORTACHY PRIMARY SCHOOL,3.4,30,10,90.07,2223
5302625,ANGUS,PRIMARY,EASSIE PRIMARY SCHOOL,3.1,22,,97.79,2223
5302722,ANGUS,PRIMARY,EDZELL PRIMARY SCHOOL,7.8,102,,93.17,2223
5303028,ANGUS,PRIMARY,FERRYDEN PRIMARY SCHOOL,9.7,150,8,93.03,2223
5303621,ANGUS,PRIMARY,FRIOCKHEIM PRIMARY SCHOOL,8.7,117,36,93.34,2223
5303729,ANGUS,PRIMARY,GLAMIS PRIMARY SCHOOL,4.4,62,,95.23,2223
5339421,ANGUS,PRIMARY,GRANGE PRIMARY SCHOOL,23.2,363,101,94.43,2223
5300428,ANGUS,PRIMARY,HAYSHEAD PRIMARY SCHOOL,33.0,486,184,88.82,2223
5304121,ANGUS,PRIMARY,INVERARITY PRIMARY SCHOOL,3.0,43,20,92.4,2223
5300525,ANGUS,PRIMARY,INVERBROTHOCK PRIMARY SCHOOL,22.5,299,93,91.79,2223
