EXP HEAD,DESCRIPTION,SCHOOL,YEAR,CATEGORY,VALUE
DA4001,CARDS COST OF,CHARLESTON ACADEMY,1718,SMART,-100.0
DA4556,ECONOMICS SUPPLIES,CHARLESTON ACADEMY,1718,HOME,1191.97
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,185.25
AH1000,COURSES,CHARLESTON ACADEMY,1718,TRAINING,11.51
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,1492.91
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,1321.27
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,2572.95
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,1641.77
DA4554,SUPPLIES,CHARLESTON ACADEMY,1718,MUSICAL,1719.58
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,384.95
DA1000,PURCHASE,CHARLESTON ACADEMY,1718,EQUIPMENT,1488.78
DA4001,CARDS COST OF,CHARLESTON ACADEMY,1718,SMART,-90.0
DA4553,SUPPLIES,CHARLESTON ACADEMY,1718,PE,-362.24
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,266.19
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,243.11
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,208.49
DA4555,SUPPLIES,CHARLESTON ACADEMY,1718,SCIENTIFIC,1010.29
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,303.19
DA1000,PURCHASE,CHARLESTON ACADEMY,1718,EQUIPMENT,1857.51
DA4552,SUPPLIES,CHARLESTON ACADEMY,1718,WOOD/METALWORK,811.75
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,867.2
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1718,PHOTOCOPY,-222.34
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,348.05
DA1000,PURCHASE,CHARLESTON ACADEMY,1718,EQUIPMENT,23273.65
DA4550,SUPPLIES,CHARLESTON ACADEMY,1718,CLASSROOM,3193.51
DA4554,SUPPLIES,CHARLESTON ACADEMY,1718,MUSICAL,5385.17
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1718,BOOKS,12309.94
AA1103,STAFF EDUCATION BASIC PAY,CHARLESTON ACADEMY,1718,AUX,3770.68
AA1512,PAYMENTS,CHARLESTON ACADEMY,1718,CONTRACT,1300.0
AB1000,NONTEACHERS,CHARLESTON ACADEMY,1718,NI,315.75
AB1101,SUPPLY COVER,CHARLESTON ACADEMY,1718,NI,880.0
AC1000,NON TEACHERS,CHARLESTON ACADEMY,1718,SUPERANN,735.29
AS1000,LEVY COST,CHARLESTON ACADEMY,1718,APPRENTICESHIP,18.84
DA4550,SUPPLIES,CHARLESTON ACADEMY,1718,CLASSROOM,600.0
EF1003,ASSOCS/OTHER BODIES,CHARLESTON ACADEMY,1718,VOLUNTARY,4800.0
KA3000,GRANTS SPECIFIC GRANTS,CHARLESTON ACADEMY,1718,GOVT,-12420.56
AA1001,BASIC PAY,CHARLESTON ACADEMY,1617,APT&C,71316.0
AA1100,PERMANENT  BASIC PAY,CHARLESTON ACADEMY,1617,TEACHERS,2056240.71
AA1101,COVER BASIC PAY,CHARLESTON ACADEMY,1617,SUPPLY,50345.64
AA1103,STAFF EDUCATION BASIC PAY,CHARLESTON ACADEMY,1617,AUX,15068.3
AA1107,BASIC PAY,CHARLESTON ACADEMY,1617,JANITORS,71969.93
AA1110,TECH'N BASIC PAY,CHARLESTON ACADEMY,1617,LABORATORY,53952.57
AA1500,GENERAL,CHARLESTON ACADEMY,1617,OVERTIME,1802.9
AA1503,PAY,CHARLESTON ACADEMY,1617,RESPONSIBILITY,4.34
AB1000,NONTEACHERS,CHARLESTON ACADEMY,1617,NI,15855.79
AB1100,PERMANENT TEACHERS,CHARLESTON ACADEMY,1617,NI,222923.5
AB1101,SUPPLY COVER,CHARLESTON ACADEMY,1617,NI,4101.64
AC1000,NON TEACHERS,CHARLESTON ACADEMY,1617,SUPERANN,32542.86
AC1100,PERMANENT TEACHERS,CHARLESTON ACADEMY,1617,SUPERANN,319890.39
AC1101,SUPPLY COVER,CHARLESTON ACADEMY,1617,SUPERANN,2034.69
AH1000,COURSES,CHARLESTON ACADEMY,1617,TRAINING,725.0
AH1010,DEVELOPMENT,CHARLESTON ACADEMY,1617,STAFF,2631.0
AK1503,LOSS OF OFFICE,CHARLESTON ACADEMY,1617,COMPENSATION,7575.82
AK1504,SUM COMPENSATION,CHARLESTON ACADEMY,1617,LUMP,11519.81
AK1505,PAYMENTS,CHARLESTON ACADEMY,1617,REDUNDANCY,49120.69
BA3000,CLIENT EXTERNAL PARTIES,CHARLESTON ACADEMY,1617,MAINT,2673.0
BA4000,& MAINT PROP EXT PARTIES,CHARLESTON ACADEMY,1617,RPRS,282.69
BB2000,CHARGES,CHARLESTON ACADEMY,1617,ELECTRICITY,59438.9
BB3000,CHARGES,CHARLESTON ACADEMY,1617,GAS,38780.38
BD1000,,CHARLESTON ACADEMY,1617,RATES,205530.0
BE1000,CHARGES,CHARLESTON ACADEMY,1617,WATER,21987.51
BH2000,MATERIALS/EQUIPMENT,CHARLESTON ACADEMY,1617,CLEANING,4764.57
BJ1000,MAINTENANCE  CONTRACT,CHARLESTON ACADEMY,1617,GROUNDS,3772.64
CA1000,,CHARLESTON ACADEMY,1617,DERV,966.65
CA1001,,CHARLESTON ACADEMY,1617,PETROL,53.72
CA1003,OIL,CHARLESTON ACADEMY,1617,GAS,292.88
CA9000,TRANSPORT COSTS,CHARLESTON ACADEMY,1617,MISCELLANEOUS,66.83
CB1006,HIRE CONT CHG FROM FLEET,CHARLESTON ACADEMY,1617,INT,9193.84
CB1007,MAINT O/CHG FROM FLEET,CHARLESTON ACADEMY,1617,VEHICLE,1130.62
CC1000,TRAVEL,CHARLESTON ACADEMY,1617,EDUCATIONAL,125.76
CC2000,HIRE,CHARLESTON ACADEMY,1617,CAR,38.4
CD1000,,CHARLESTON ACADEMY,1617,FARES,472.0
CF1000,TRAVEL,CHARLESTON ACADEMY,1617,COURSES,208.22
CF1001,TRAVEL,CHARLESTON ACADEMY,1617,CONFERENCE,139.19
CF1004,MILEAGE  NON TAXABLE,CHARLESTON ACADEMY,1617,TRAVEL,32.11
DA1000,PURCHASE,CHARLESTON ACADEMY,1617,EQUIPMENT,39273.37
DA2040,REPAIRS,CHARLESTON ACADEMY,1617,EQUIPMENT,879.41
DA4000,,CHARLESTON ACADEMY,1617,MATERIALS,-62.93
DA4014,SUPPLIES,CHARLESTON ACADEMY,1617,MEDICAL,303.63
DA4028,MACHINE SUPPLIES/RENT,CHARLESTON ACADEMY,1617,VENDING,561.6
DA4550,SUPPLIES,CHARLESTON ACADEMY,1617,CLASSROOM,16.8
DB2010,,CHARLESTON ACADEMY,1617,FOOD,728.14
DB3000,MEETINGS/TRAINING,CHARLESTON ACADEMY,1617,CATERING,425.67
DB3010,& HOSPITALITY,CHARLESTON ACADEMY,1617,MEALS,509.12
DB3030,,CHARLESTON ACADEMY,1617,HOSPITALITY,227.87
DC1000,CLOTHING,CHARLESTON ACADEMY,1617,PROTECTIVE,342.28
DC3000,NON STAFF,CHARLESTON ACADEMY,1617,CLOTHING,956.5
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,553.73
DD3003,COSTS  MONO,CHARLESTON ACADEMY,1617,MPS,17188.74
DD3004,COSTS  COLOUR,CHARLESTON ACADEMY,1617,MPS,5268.03
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,-274.97
DE3010,COLLECTION/SHERIFF OFFICE,CHARLESTON ACADEMY,1617,DEBT,-57.02
DF4001,CHARGES CORE SUPPLIER,CHARLESTON ACADEMY,1617,ICT,4794.35
DF7000,,CHARLESTON ACADEMY,1617,POSTAGES,1232.37
DF9000,TELEPHONES RENTAL,CHARLESTON ACADEMY,1617,LANDLINE,2512.64
DF9010,PHONE LINE RENTAL,CHARLESTON ACADEMY,1617,MOBILE,240.0
DF9015,PHONE USAGE COSTS,CHARLESTON ACADEMY,1617,MOBILE,5.08
DG1000,,CHARLESTON ACADEMY,1617,ACCOMMODATION,761.37
DG4000,,CHARLESTON ACADEMY,1617,SUBSISTENCE,89.0
DK9010,FUND,CHARLESTON ACADEMY,1617,SCHOOL,529.64
DK9500,SUPPLIES,CHARLESTON ACADEMY,1617,MISCELLANEOUS,121.0
EE1200,QUALIFICATIONS AUTHORITY,CHARLESTON ACADEMY,1617,SCOTT,60239.65
KC1936,FEES/CHARGES,CHARLESTON ACADEMY,1617,OTHER,-1372.0
XH1050,ACCOUNT BALANCE,CHARLESTON ACADEMY,1617,REVENUE,-104603.93
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,5489.72
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,5731.53
AH1010,DEVELOPMENT,CHARLESTON ACADEMY,1617,STAFF,18040.47
DA4550,SUPPLIES,CHARLESTON ACADEMY,1617,CLASSROOM,-638.5
FA3000,FUNDS FOR SCHOOLS,CHARLESTON ACADEMY,1617,PROJECT,-9287.0
AH1010,DEVELOPMENT,CHARLESTON ACADEMY,1617,STAFF,758.17
DA1000,PURCHASE,CHARLESTON ACADEMY,1617,EQUIPMENT,1224.15
DA4551,& CRAFT SUPPLIES,CHARLESTON ACADEMY,1617,ART,1343.24
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,909.42
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,242.72
DA4555,SUPPLIES,CHARLESTON ACADEMY,1617,SCIENTIFIC,129.94
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,221.17
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,915.1
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,1132.24
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,99.35
DA4555,SUPPLIES,CHARLESTON ACADEMY,1617,SCIENTIFIC,272.66
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,284.33
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,854.43
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,11.7
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,25.98
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,1402.95
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,3580.65
DA1000,PURCHASE,CHARLESTON ACADEMY,1617,EQUIPMENT,25.16
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,1809.73
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,1155.42
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,1189.18
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,411.45
DA4556,ECONOMICS SUPPLIES,CHARLESTON ACADEMY,1617,HOME,11.84
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,357.75
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,244.7
AH1000,COURSES,CHARLESTON ACADEMY,1617,TRAINING,75.0
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,608.2
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,1969.82
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,47.93
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,1372.88
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,2680.86
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,1168.48
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,749.38
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,993.48
DA4554,SUPPLIES,CHARLESTON ACADEMY,1617,MUSICAL,835.89
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,593.8
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,239.57
DA1000,PURCHASE,CHARLESTON ACADEMY,1617,EQUIPMENT,1089.91
DA4553,SUPPLIES,CHARLESTON ACADEMY,1617,PE,-262.02
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,718.51
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,136.98
DF4001,CHARGES CORE SUPPLIER,CHARLESTON ACADEMY,1617,ICT,290.35
DA4555,SUPPLIES,CHARLESTON ACADEMY,1617,SCIENTIFIC,315.1
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,333.1
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,240.82
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,348.8
DA4555,SUPPLIES,CHARLESTON ACADEMY,1617,SCIENTIFIC,847.98
DA4556,ECONOMICS SUPPLIES,CHARLESTON ACADEMY,1617,HOME,7.8
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,1725.87
DA1000,PURCHASE,CHARLESTON ACADEMY,1617,EQUIPMENT,140.88
DA4552,SUPPLIES,CHARLESTON ACADEMY,1617,WOOD/METALWORK,2982.93
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,640.61
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1617,BOOKS,180.55
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,-21892.91
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1617,PHOTOCOPY,44.09
AA1001,BASIC PAY,CHARLESTON ACADEMY,1819,APT&C,74330.3
AA1100,PERMANENT  BASIC PAY,CHARLESTON ACADEMY,1819,TEACHERS,2083399.34
AA1101,COVER BASIC PAY,CHARLESTON ACADEMY,1819,SUPPLY,60941.6
AA1103,STAFF EDUCATION BASIC PAY,CHARLESTON ACADEMY,1819,AUX,16233.84
AA1107,BASIC PAY,CHARLESTON ACADEMY,1819,JANITORS,1269.76
AA1110,TECH'N BASIC PAY,CHARLESTON ACADEMY,1819,LABORATORY,41419.52
AA1500,GENERAL,CHARLESTON ACADEMY,1819,OVERTIME,108.75
AB1000,NONTEACHERS,CHARLESTON ACADEMY,1819,NI,9357.15
AB1100,PERMANENT TEACHERS,CHARLESTON ACADEMY,1819,NI,221986.93
AB1101,SUPPLY COVER,CHARLESTON ACADEMY,1819,NI,3822.28
AC1000,NON TEACHERS,CHARLESTON ACADEMY,1819,SUPERANN,18917.4
AC1100,PERMANENT TEACHERS,CHARLESTON ACADEMY,1819,SUPERANN,328911.3
AC1101,SUPPLY COVER,CHARLESTON ACADEMY,1819,SUPERANN,3252.93
AH1000,COURSES,CHARLESTON ACADEMY,1819,TRAINING,1245.0
AH1010,DEVELOPMENT,CHARLESTON ACADEMY,1819,STAFF,3573.31
AS1000,LEVY COST,CHARLESTON ACADEMY,1819,APPRENTICESHIP,11604.76
BA3000,CLIENT EXTERNAL PARTIES,CHARLESTON ACADEMY,1819,MAINT,10579.07
BA4000,& MAINT PROP EXT PARTIES,CHARLESTON ACADEMY,1819,RPRS,11051.96
BB2000,CHARGES,CHARLESTON ACADEMY,1819,ELECTRICITY,59229.62
BB3000,CHARGES,CHARLESTON ACADEMY,1819,GAS,43990.89
BD1000,,CHARLESTON ACADEMY,1819,RATES,192280.0
BE1000,CHARGES,CHARLESTON ACADEMY,1819,WATER,16669.03
BH2000,MATERIALS/EQUIPMENT,CHARLESTON ACADEMY,1819,CLEANING,3189.1
BJ1000,MAINTENANCE  CONTRACT,CHARLESTON ACADEMY,1819,GROUNDS,3465.36
CA1000,,CHARLESTON ACADEMY,1819,DERV,1266.01
CA1001,,CHARLESTON ACADEMY,1819,PETROL,68.92
CA1003,OIL,CHARLESTON ACADEMY,1819,GAS,250.37
CB1006,HIRE CONT CHG FROM FLEET,CHARLESTON ACADEMY,1819,INT,8938.06
CB1007,MAINT O/CHG FROM FLEET,CHARLESTON ACADEMY,1819,VEHICLE,1494.0
CC1000,TRAVEL,CHARLESTON ACADEMY,1819,EDUCATIONAL,66.83
CC2000,HIRE,CHARLESTON ACADEMY,1819,CAR,931.96
CE1000,,CHARLESTON ACADEMY,1819,INSURANCEVEHICLES,-38.9
CF1004,MILEAGE  NON TAXABLE,CHARLESTON ACADEMY,1819,TRAVEL,82.61
DA1000,PURCHASE,CHARLESTON ACADEMY,1819,EQUIPMENT,8549.03
DA2040,REPAIRS,CHARLESTON ACADEMY,1819,EQUIPMENT,210.0
DA4014,SUPPLIES,CHARLESTON ACADEMY,1819,MEDICAL,234.77
DA4028,MACHINE SUPPLIES/RENT,CHARLESTON ACADEMY,1819,VENDING,566.6
DA4040,PRODUCTS  TOWELS,CHARLESTON ACADEMY,1819,SANITARY,337.8
DA4041,PRODUCTS  TAMPONS,CHARLESTON ACADEMY,1819,SANITARY,465.4
DA4042,PRODUCTS  OTHER,CHARLESTON ACADEMY,1819,SANITARY,125.1
DB2000,,CHARLESTON ACADEMY,1819,GROCERIES,350.0
DB2010,,CHARLESTON ACADEMY,1819,FOOD,938.58
DB3000,MEETINGS/TRAINING,CHARLESTON ACADEMY,1819,CATERING,418.05
DB3010,& HOSPITALITY,CHARLESTON ACADEMY,1819,MEALS,293.67
DB3030,,CHARLESTON ACADEMY,1819,HOSPITALITY,25.84
DC1000,CLOTHING,CHARLESTON ACADEMY,1819,PROTECTIVE,326.38
DD2000,,CHARLESTON ACADEMY,1819,STATIONERY,20.0
DD3003,COSTS  MONO,CHARLESTON ACADEMY,1819,MPS,13530.67
DD3004,COSTS  COLOUR,CHARLESTON ACADEMY,1819,MPS,2897.76
DF4001,CHARGES CORE SUPPLIER,CHARLESTON ACADEMY,1819,ICT,114.82
DF7000,,CHARLESTON ACADEMY,1819,POSTAGES,1417.1
DF9000,TELEPHONES RENTAL,CHARLESTON ACADEMY,1819,LANDLINE,-487.85
DF9010,PHONE LINE RENTAL,CHARLESTON ACADEMY,1819,MOBILE,290.9
DF9015,PHONE USAGE COSTS,CHARLESTON ACADEMY,1819,MOBILE,1.88
DG1000,,CHARLESTON ACADEMY,1819,ACCOMMODATION,527.3
DK9010,FUND,CHARLESTON ACADEMY,1819,SCHOOL,857.16
DK9500,SUPPLIES,CHARLESTON ACADEMY,1819,MISCELLANEOUS,363.0
EE1200,QUALIFICATIONS AUTHORITY,CHARLESTON ACADEMY,1819,SCOTT,60241.35
KC1936,FEES/CHARGES,CHARLESTON ACADEMY,1819,OTHER,-1372.0
XH1050,ACCOUNT BALANCE,CHARLESTON ACADEMY,1819,REVENUE,-28496.42
DD3001,NO OF COPIES CHG,CHARLESTON ACADEMY,1819,PHOTOCOPY,9.72
DD4001,TEXT BOOKS/STATIONERY,CHARLESTON ACADEMY,1819,BOOKS,5673.37
AH1010,DEVELOPMENT,CHARLESTON ACADEMY,1819,STAFF,9539.88
DA4550,SUPPLIES,CHARLESTON ACADEMY,1819,CLASSROOM,140.0
DF4001,CHARGES CORE SUPPLIER,CHARLESTON ACADEMY,1819,ICT,69.35
FA3000,FUNDS FOR SCHOOLS,CHARLESTON ACADEMY,1819,PROJECT,47.02
KE3000,FROM WITHIN HLAND CNCL,CHARLESTON ACADEMY,1819,INCOME,-5273.0
AH1010,DEVELOPMENT,CHARLESTON ACADEMY,1819,STAFF,795.0
DA1000,PURCHASE,CHARLESTON ACADEMY,1819,EQUIPMENT,61.19
DA4551,& CRAFT SUPPLIES,CHARLESTON ACADEMY,1819,ART,1727.07
